,Outside Length,Outside Height,Outside Width,Internal Length,Internal Height,Internal Width,Door Width,Door Height,Cubic Capacity,Max Gross Weight,Tare Weight
8ft Container Dimensions,2.44m 8ft,2.26m 7ft 6in,2.26m 7ft,2.29m 7ft 6in,2.06m 6ft 6in,2.11m 6ft 11in,2.10m 6ft 11in,1.95m 6ft 5in,9.95m3 351cf,"6,000kg 13,227lbs","950kg 2,094lbs"
10ft Container Dimensions,2.99m 10ft,2.59m 8ft 6in,2.44m 8ft,2.84m 9ft 4in,2.39m 7ft 10in,2.35m 7ft 9in,2.34m 7ft 9in,2.28m 7ft 6in,15.95m3 563cf,"10,000kg 22,046lbs","1,000kg 2,204lbs"
20ft Container Dimensions,6.06m 20ft,2.60m 8ft 6in,2.44m 8ft,5.9m 19ft 4in,2.39m 7ft 10in,2.35m 7ft 9in,2.34m 7ft 9in,2.28m 7ft 6in,"33.2m3 1,172cf","30,480kg 67,196lbs","2,000kg 4,409lbs"
40ft Container Dimensions,12.2m 40ft,2.60m 8ft 6in,2.44m 8ft,12.03m 39ft 5in,2.39m 7ft 10in,2.35m 7ft 9in,2.34m 7ft 9in,2.28m 7ft 6in,"67.6m3 2,387cf","30,480kg 67,196lbs","3,470kg 7,650lbs"
20ft Tunnel Dimensions,6.06m 20ft,2.60m 8ft 6in,2.44m 8ft,5.84m 19ft 1in,2.39m 7ft 10in,2.35m 7ft 9in,2.34m 7ft 9in,2.28m 7ft 6in,"32.8m3 1,158cf","30,480kg 67,196lbs","2,180kg 4,806lbs"
20ft Open-sider Dimensions,6.06m 20ft,2.60m 8ft 6in,2.44m 8ft,5.9m 19ft 4in,2.30m 7ft 6in,2.29m 7ft 6in,2.22m 7ft 3in,2.19m 7ft 3in,"31m3 1,094cf","30,480kg 67,196lb","3,170kg 6,988lbs"
40ft High Cube Dimensions,12.2m 40ft,2.90m 9ft 6in,2.44m 8ft,12.03m 39ft 5in,2.69m 8ft 10in,2.35m 7ft 9in,2.34m 7ft 8in,2.58m 8ft 6in,"76.4m3 2,698cf","30,480kg 67,196lbs","3,660kg 8,068lbs"
20ft Open-top Dimensions,6.06m 20ft,2.90m 9ft 6in,2.44m 8ft,5.96m 19ft 4in,2.28m 7ft 6in,2.35m 7ft 9in,2.34m 7ft 9in,2.28m 7ft 6in,"33m3 1,165cf","30,480kg 67,196lbs","3,000kg 6,613lbs"
40ft Open-top Dimensions,12.2m 40ft,2.60m 8ft 6in,2.44m 8ft,12.03m 39ft 5in,2.39m 7ft 10in,2.35m 7ft 9in,2.34m 7ft 9in,2.28m 7ft 6in,"66.8m3 2,358cf","32,500kg 71,650lbs","4,050kg 8,928lbs"
40ft Tunnel Dimensions,12.2m 40ft,2.60m 8ft 6in,2.44m 8ft,11.98m 39ft 4in,2.39m 7ft 10in,2.35m 7ft 9in,2.34m 7ft 9in,2.28m 7ft 6in,67.4m3 381cf,"30,480kg 67,196lbs","3,680kg 8,113lbs"
40ft High Cube Open Sider Dimensions,12.2m 40ft,2.90m 9ft 6in,2.44m 8ft,12.03m 39ft 5in,2.46m 8ft 1in,2.28m 7ft 6in,2.22m 7ft 3in,2.35m 7ft 9in,"67.72m3 2,391cf","24,000kg 52,910bs","5,920kg 13,051lbs"
20ft High Cube Dimensions,6.06m 20ft,2.90m 9ft 6in,2.44m 8ft,5.96m 19ft 4in,2.69m 8ft 10in,2.35m 7ft 9in,2.34m 7ft 9in,2.58m 8ft 6in,"37.4m3 1,320cf","30,480kg 67,196lbs","2,100kg 4,629lbs"
